time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.501493,-0.0078,0.0030,0.0353,0.036
5.522522,-0.0181,0.0077,0.0257,0.032
5.540715,-0.0180,-0.0113,0.0353,0.041
5.560599,-0.0085,0.0079,0.0401,0.042
5.580723,-0.0180,-0.0114,0.0401,0.045
5.599913,-0.0129,-0.0018,0.0641,0.065
5.620170,-0.0177,-0.0017,0.0497,0.053
5.639684,-0.0128,-0.0017,0.0353,0.038
5.659895,-0.0273,-0.0111,0.0449,0.054
5.679919,-0.0080,-0.0110,0.0401,0.042
5.699031,-0.0081,-0.0158,0.0305,0.035
5.719339,-0.0130,-0.0110,0.0257,0.031
5.739037,-0.0129,-0.0013,0.0353,0.038
5.758951,-0.0222,-0.0061,0.0593,0.064
5.780462,-0.0075,-0.0205,0.0401,0.046
5.799370,-0.0170,-0.0012,0.0209,0.027
5.820924,-0.0124,-0.0108,0.0401,0.043
5.838171,-0.0170,-0.0110,0.0497,0.054
5.858578,-0.0123,-0.0061,0.0689,0.070
5.877656,-0.0074,-0.0013,0.0497,0.050
5.898232,-0.0026,0.0225,0.0497,0.055
5.917498,-0.0219,-0.0014,0.0545,0.059
5.938327,-0.0219,-0.0012,0.0449,0.050
5.956896,-0.0171,-0.0011,0.0305,0.035
5.978795,-0.0174,0.0132,0.0497,0.054
5.997702,-0.0083,0.0037,0.0593,0.060
6.017013,-0.0227,-0.0011,0.0449,0.050
6.037323,-0.0132,0.0035,0.0353,0.038
6.056470,-0.0181,-0.0012,0.0449,0.048
6.078527,-0.0085,-0.0010,0.0258,0.027
6.095691,0.0010,0.0088,0.0401,0.041
6.115693,-0.0037,0.0038,0.0401,0.040
6.135444,-0.0179,-0.0009,0.0449,0.048
6.155446,-0.0179,-0.0008,0.0449,0.048
6.177825,-0.0180,-0.0104,0.0497,0.054
6.194886,-0.0183,-0.0056,0.0258,0.032
6.215273,-0.0231,0.0135,0.0641,0.069
